date,ticker,asset_class,close,currency
2020-07-17,EUNL.DE,ETF,54.262001037597656,EUR
2020-07-20,EUNL.DE,ETF,54.54600143432617,EUR
2020-07-21,EUNL.DE,ETF,54.9119987487793,EUR
2020-07-22,EUNL.DE,ETF,54.26399993896485,EUR
2020-07-23,EUNL.DE,ETF,54.391998291015625,EUR
2020-07-24,EUNL.DE,ETF,53.38600158691406,EUR
2020-07-27,EUNL.DE,ETF,52.96799850463867,EUR
2020-07-28,EUNL.DE,ETF,53.374000549316406,EUR
2020-07-29,EUNL.DE,ETF,53.27000045776367,EUR
2020-07-30,EUNL.DE,ETF,52.77199935913086,EUR
2020-07-31,EUNL.DE,ETF,52.53200149536133,EUR
2020-08-03,EUNL.DE,ETF,53.73199844360352,EUR
2020-08-04,EUNL.DE,ETF,53.73600006103516,EUR
2020-08-05,EUNL.DE,ETF,53.6619987487793,EUR
2020-08-06,EUNL.DE,ETF,53.66600036621094,EUR
2020-08-07,EUNL.DE,ETF,54.15599822998047,EUR
2020-08-10,EUNL.DE,ETF,54.31800079345703,EUR
2020-08-11,EUNL.DE,ETF,54.8380012512207,EUR
2020-08-12,EUNL.DE,ETF,55.01599884033203,EUR
2020-08-13,EUNL.DE,ETF,54.86199951171875,EUR
2020-08-14,EUNL.DE,ETF,54.66400146484375,EUR
2020-08-17,EUNL.DE,ETF,54.709999084472656,EUR
2020-08-18,EUNL.DE,ETF,54.560001373291016,EUR
2020-08-19,EUNL.DE,ETF,54.83599853515625,EUR
2020-08-20,EUNL.DE,ETF,54.608001708984375,EUR
2020-08-21,EUNL.DE,ETF,54.97600173950195,EUR
2020-08-24,EUNL.DE,ETF,55.43399810791016,EUR
2020-08-25,EUNL.DE,ETF,55.44400024414063,EUR
2020-08-26,EUNL.DE,ETF,55.89799880981445,EUR
2020-08-27,EUNL.DE,ETF,56.29800033569336,EUR
2020-08-28,EUNL.DE,ETF,55.84999847412109,EUR
2020-08-31,EUNL.DE,ETF,55.66400146484375,EUR
2020-09-01,EUNL.DE,ETF,55.84799957275391,EUR
2020-09-02,EUNL.DE,ETF,56.77000045776367,EUR
